cycle,motion,seq_index,timestamp,f0_px,f0_py,f0_scale,f1_px,f1_py,f1_scale,f2_px,f2_py,f2_scale,f3_px,f3_py,f3_scale,f4_px,f4_py,f4_scale,f5_px,f5_py,f5_scale,f6_px,f6_py,f6_scale,f7_px,f7_py,f7_scale,f8_px,f8_py,f8_scale,f9_px,f9_py,f9_scale,f10_px,f10_py,f10_scale,f11_px,f11_py,f11_scale,f12_px,f12_py,f12_scale,f13_px,f13_py,f13_scale,f14_px,f14_py,f14_scale,f15_px,f15_py,f15_scale,f16_px,f16_py,f16_scale,f17_px,f17_py,f17_scale,f18_px,f18_py,f18_scale,f19_px,f19_py,f19_scale,f20_px,f20_py,f20_scale,f21_px,f21_py,f21_scale,f22_px,f22_py,f22_scale,f23_px,f23_py,f23_scale,f24_px,f24_py,f24_scale,f25_px,f25_py,f25_scale,f26_px,f26_py,f26_scale,f27_px,f27_py,f27_scale,f28_px,f28_py,f28_scale,f29_px,f29_py,f29_scale
1,swipe_up,0,1774745138.512757,0.590041,0.437175,0.314682,0.595514,0.436072,0.312995,0.594893,0.436293,0.311685,0.590444,0.441639,0.311499,0.594459,0.441409,0.308262,0.598470,0.440827,0.312839,0.598033,0.441454,0.311600,0.599104,0.454384,0.312482,0.599695,0.450055,0.315075,0.594950,0.459378,0.319255,0.596824,0.455251,0.328295,0.600533,0.451452,0.328762,0.596575,0.452358,0.330886,0.600701,0.450510,0.322793,0.597643,0.453545,0.333049,0.600847,0.452691,0.326343,0.598525,0.453589,0.323114,0.601693,0.450566,0.331534,0.601132,0.452931,0.332401,0.600859,0.449249,0.331821,0.601865,0.451686,0.330704,0.594725,0.452665,0.329743,0.599988,0.448240,0.329253,0.598379,0.455739,0.331140,0.598348,0.452001,0.331356,0.601386,0.462384,0.323193,0.602961,0.464065,0.321128,0.598985,0.462651,0.318051,0.600800,0.461590,0.310566,0.600284,0.462389,0.307586
1,swipe_up,1,1774745138.678174,0.598470,0.440827,0.312839,0.598033,0.441454,0.311600,0.599104,0.454384,0.312482,0.599695,0.450055,0.315075,0.594950,0.459378,0.319255,0.596824,0.455251,0.328295,0.600533,0.451452,0.328762,0.596575,0.452358,0.330886,0.600701,0.450510,0.322793,0.597643,0.453545,0.333049,0.600847,0.452691,0.326343,0.598525,0.453589,0.323114,0.601693,0.450566,0.331534,0.601132,0.452931,0.332401,0.600859,0.449249,0.331821,0.601865,0.451686,0.330704,0.594725,0.452665,0.329743,0.599988,0.448240,0.329253,0.598379,0.455739,0.331140,0.598348,0.452001,0.331356,0.601386,0.462384,0.323193,0.602961,0.464065,0.321128,0.598985,0.462651,0.318051,0.600800,0.461590,0.310566,0.600284,0.462389,0.307586,0.600319,0.460831,0.296172,0.603664,0.461841,0.295653,0.600350,0.463906,0.297922,0.605119,0.457039,0.292941,0.594726,0.454363,0.295398
1,swipe_up,2,1774745139.094121,0.596824,0.455251,0.328295,0.600533,0.451452,0.328762,0.596575,0.452358,0.330886,0.600701,0.450510,0.322793,0.597643,0.453545,0.333049,0.600847,0.452691,0.326343,0.598525,0.453589,0.323114,0.601693,0.450566,0.331534,0.601132,0.452931,0.332401,0.600859,0.449249,0.331821,0.601865,0.451686,0.330704,0.594725,0.452665,0.329743,0.599988,0.448240,0.329253,0.598379,0.455739,0.331140,0.598348,0.452001,0.331356,0.601386,0.462384,0.323193,0.602961,0.464065,0.321128,0.598985,0.462651,0.318051,0.600800,0.461590,0.310566,0.600284,0.462389,0.307586,0.600319,0.460831,0.296172,0.603664,0.461841,0.295653,0.600350,0.463906,0.297922,0.605119,0.457039,0.292941,0.594726,0.454363,0.295398,0.599672,0.454555,0.284956,0.566779,-0.028642,0.131669,0.568582,-0.014337,0.136449,0.565105,-0.000819,0.159590,0.563826,0.003356,0.165805
1,swipe_up,3,1774745139.265164,0.600847,0.452691,0.326343,0.598525,0.453589,0.323114,0.601693,0.450566,0.331534,0.601132,0.452931,0.332401,0.600859,0.449249,0.331821,0.601865,0.451686,0.330704,0.594725,0.452665,0.329743,0.599988,0.448240,0.329253,0.598379,0.455739,0.331140,0.598348,0.452001,0.331356,0.601386,0.462384,0.323193,0.602961,0.464065,0.321128,0.598985,0.462651,0.318051,0.600800,0.461590,0.310566,0.600284,0.462389,0.307586,0.600319,0.460831,0.296172,0.603664,0.461841,0.295653,0.600350,0.463906,0.297922,0.605119,0.457039,0.292941,0.594726,0.454363,0.295398,0.599672,0.454555,0.284956,0.566779,-0.028642,0.131669,0.568582,-0.014337,0.136449,0.565105,-0.000819,0.159590,0.563826,0.003356,0.165805,0.564157,0.008041,0.165501,0.560045,0.016562,0.156406,0.557453,0.020726,0.160126,0.556206,0.021078,0.155927,0.560636,0.024263,0.168519
1,swipe_up,4,1774745139.431183,0.601865,0.451686,0.330704,0.594725,0.452665,0.329743,0.599988,0.448240,0.329253,0.598379,0.455739,0.331140,0.598348,0.452001,0.331356,0.601386,0.462384,0.323193,0.602961,0.464065,0.321128,0.598985,0.462651,0.318051,0.600800,0.461590,0.310566,0.600284,0.462389,0.307586,0.600319,0.460831,0.296172,0.603664,0.461841,0.295653,0.600350,0.463906,0.297922,0.605119,0.457039,0.292941,0.594726,0.454363,0.295398,0.599672,0.454555,0.284956,0.566779,-0.028642,0.131669,0.568582,-0.014337,0.136449,0.565105,-0.000819,0.159590,0.563826,0.003356,0.165805,0.564157,0.008041,0.165501,0.560045,0.016562,0.156406,0.557453,0.020726,0.160126,0.556206,0.021078,0.155927,0.560636,0.024263,0.168519,0.561332,0.025575,0.169611,0.558617,0.024922,0.175099,0.558585,0.023325,0.175829,0.555805,0.020926,0.149898,0.553713,0.025188,0.154896
1,swipe_up,5,1774745142.090045,0.548231,0.546730,0.307913,0.551482,0.545010,0.308820,0.557933,0.540782,0.324710,0.558746,0.540983,0.325943,0.563415,0.537815,0.323529,0.563636,0.538430,0.326575,0.567633,0.536520,0.335388,0.568956,0.538314,0.335220,0.574105,0.539639,0.343492,0.574553,0.542792,0.346852,0.574867,0.543030,0.348415,0.574960,0.554090,0.354073,0.575870,0.554434,0.357559,0.575968,0.567966,0.359081,0.571304,0.574741,0.359635,0.570612,0.574277,0.359361,0.564095,0.575609,0.359926,0.563151,0.575262,0.358238,0.556426,0.573571,0.360756,0.555786,0.572388,0.360484,0.555486,0.571880,0.360766,0.549616,0.566980,0.359839,0.548683,0.565581,0.360305,0.547326,0.558547,0.358237,0.546523,0.558319,0.357722,0.546523,0.552533,0.358818,0.547934,0.547468,0.357173,0.547343,0.546832,0.359217,0.551654,0.529593,0.347097,0.551185,0.530412,0.341985
1,swipe_up,6,1774745142.516810,0.563636,0.538430,0.326575,0.567633,0.536520,0.335388,0.568956,0.538314,0.335220,0.574105,0.539639,0.343492,0.574553,0.542792,0.346852,0.574867,0.543030,0.348415,0.574960,0.554090,0.354073,0.575870,0.554434,0.357559,0.575968,0.567966,0.359081,0.571304,0.574741,0.359635,0.570612,0.574277,0.359361,0.564095,0.575609,0.359926,0.563151,0.575262,0.358238,0.556426,0.573571,0.360756,0.555786,0.572388,0.360484,0.555486,0.571880,0.360766,0.549616,0.566980,0.359839,0.548683,0.565581,0.360305,0.547326,0.558547,0.358237,0.546523,0.558319,0.357722,0.546523,0.552533,0.358818,0.547934,0.547468,0.357173,0.547343,0.546832,0.359217,0.551654,0.529593,0.347097,0.551185,0.530412,0.341985,0.603654,0.001605,0.313057,0.597954,0.016686,0.262017,0.599614,0.021238,0.234779,0.602573,0.034593,0.256957,0.604533,0.040457,0.266594
1,swipe_up,7,1774745142.699854,0.574867,0.543030,0.348415,0.574960,0.554090,0.354073,0.575870,0.554434,0.357559,0.575968,0.567966,0.359081,0.571304,0.574741,0.359635,0.570612,0.574277,0.359361,0.564095,0.575609,0.359926,0.563151,0.575262,0.358238,0.556426,0.573571,0.360756,0.555786,0.572388,0.360484,0.555486,0.571880,0.360766,0.549616,0.566980,0.359839,0.548683,0.565581,0.360305,0.547326,0.558547,0.358237,0.546523,0.558319,0.357722,0.546523,0.552533,0.358818,0.547934,0.547468,0.357173,0.547343,0.546832,0.359217,0.551654,0.529593,0.347097,0.551185,0.530412,0.341985,0.603654,0.001605,0.313057,0.597954,0.016686,0.262017,0.599614,0.021238,0.234779,0.602573,0.034593,0.256957,0.604533,0.040457,0.266594,0.605883,0.044359,0.261088,0.605454,0.043802,0.260488,0.603468,0.040909,0.262483,0.603588,0.039656,0.270028,0.604467,0.048055,0.261799
1,swipe_up,8,1774745142.897424,0.570612,0.574277,0.359361,0.564095,0.575609,0.359926,0.563151,0.575262,0.358238,0.556426,0.573571,0.360756,0.555786,0.572388,0.360484,0.555486,0.571880,0.360766,0.549616,0.566980,0.359839,0.548683,0.565581,0.360305,0.547326,0.558547,0.358237,0.546523,0.558319,0.357722,0.546523,0.552533,0.358818,0.547934,0.547468,0.357173,0.547343,0.546832,0.359217,0.551654,0.529593,0.347097,0.551185,0.530412,0.341985,0.603654,0.001605,0.313057,0.597954,0.016686,0.262017,0.599614,0.021238,0.234779,0.602573,0.034593,0.256957,0.604533,0.040457,0.266594,0.605883,0.044359,0.261088,0.605454,0.043802,0.260488,0.603468,0.040909,0.262483,0.603588,0.039656,0.270028,0.604467,0.048055,0.261799,0.601396,0.047245,0.263971,0.601144,0.046155,0.265469,0.600739,0.054474,0.257829,0.599438,0.050565,0.259974,0.597298,0.047126,0.257946
1,swipe_up,9,1774745146.124747,0.543578,0.525959,0.097585,0.543525,0.525665,0.099050,0.544474,0.525296,0.099340,0.544773,0.525276,0.099981,0.543661,0.526900,0.098907,0.541668,0.526363,0.098206,0.542101,0.525991,0.097838,0.541548,0.526790,0.100074,0.541437,0.526380,0.095321,0.541665,0.526334,0.098253,0.541854,0.525672,0.097019,0.535150,0.523489,0.093461,0.616782,0.020596,0.278267,0.615715,0.042224,0.254504,0.615502,0.043549,0.255029,0.616629,0.045536,0.247977,0.610271,0.045597,0.253526,0.609799,0.046325,0.254549,0.603597,0.053449,0.274637,0.603628,0.051888,0.275025,0.598894,0.059676,0.289325,0.599955,0.061855,0.290403,0.600839,0.065979,0.307442,0.601519,0.066690,0.311938,0.602967,0.078008,0.324371,0.603341,0.106098,0.312422,0.603571,0.104620,0.317435,0.603717,0.105799,0.317422,0.599462,0.138250,0.173096,0.600647,0.138806,0.180823
